location_id,location,system,mineral_id,mineral,mining_methods,abundance,display_percent,available
arc-l1,ARC-L1,Stanton,aluminium,Aluminium,['ship'],12.36,12.0,True
arc-l1,ARC-L1,Stanton,corundum,Corundum,['ship'],12.43,12.0,True
arc-l1,ARC-L1,Stanton,hephaestanite,Hephaestanite,['ship'],12.36,12.0,True
arc-l1,ARC-L1,Stanton,taranite,Taranite,['ship'],12.5,13.0,True
arc-l1,ARC-L1,Stanton,tungsten,Tungsten,['ship'],19.79,20.0,True
arc-l2,ARC-L2,Stanton,aluminium,Aluminium,['ship'],12.36,12.0,True
arc-l2,ARC-L2,Stanton,corundum,Corundum,['ship'],12.43,12.0,True
arc-l2,ARC-L2,Stanton,hephaestanite,Hephaestanite,['ship'],12.36,12.0,True
arc-l2,ARC-L2,Stanton,taranite,Taranite,['ship'],12.5,13.0,True
arc-l2,ARC-L2,Stanton,tungsten,Tungsten,['ship'],19.79,20.0,True
arc-l3,ARC-L3,Stanton,agricium,Agricium,['ship'],9.02,9.0,True
arc-l3,ARC-L3,Stanton,beryl,Beryl,['ship'],5.7,6.0,True
arc-l3,ARC-L3,Stanton,copper,Copper,['ship'],5.63,6.0,True
arc-l3,ARC-L3,Stanton,ice,Ice,['ship'],5.63,6.0,True
arc-l3,ARC-L3,Stanton,iron,Iron,['ship'],5.66,6.0,True
arc-l4,ARC-L4,Stanton,aluminium,Aluminium,['ship'],12.36,12.0,True
arc-l4,ARC-L4,Stanton,corundum,Corundum,['ship'],12.43,12.0,True
arc-l4,ARC-L4,Stanton,hephaestanite,Hephaestanite,['ship'],12.36,12.0,True
arc-l4,ARC-L4,Stanton,taranite,Taranite,['ship'],12.5,13.0,True
arc-l4,ARC-L4,Stanton,tungsten,Tungsten,['ship'],19.79,20.0,True
arc-l5,ARC-L5,Stanton,aslarite,Aslarite,['ship'],16.07,16.0,True
arc-l5,ARC-L5,Stanton,copper,Copper,['ship'],10.04,10.0,True
arc-l5,ARC-L5,Stanton,gold,Gold,['ship'],10.15,10.0,True
arc-l5,ARC-L5,Stanton,ice,Ice,['ship'],10.04,10.0,True
arc-l5,ARC-L5,Stanton,iron,Iron,['ship'],10.09,10.0,True
aaron-halo,Aaron Halo,Stanton,agricium,Agricium,['ship'],14.2,14.0,True
aaron-halo,Aaron Halo,Stanton,aluminium,Aluminium,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,aslarite,Aslarite,['ship'],14.2,14.0,True
aaron-halo,Aaron Halo,Stanton,beryl,Beryl,['ship'],18.0,18.0,True
aaron-halo,Aaron Halo,Stanton,copper,Copper,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,corundum,Corundum,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,hephaestanite,Hephaestanite,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,ice,Ice,['ship'],10.4,10.0,True
aaron-halo,Aaron Halo,Stanton,iron,Iron,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,quantainium,Quantainium,['ship'],2.0,2.0,True
aaron-halo,Aaron Halo,Stanton,silicon,Silicon,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,tin,Tin,['ship'],10.3,10.0,True
aaron-halo,Aaron Halo,Stanton,titanium,Titanium,['ship'],14.2,14.0,True
aberdeen,Aberdeen,Stanton,agricium,Agricium,['ship'],28.5,29.0,True
aberdeen,Aberdeen,Stanton,aluminium,Aluminium,['ship'],29.8,30.0,True
aberdeen,Aberdeen,Stanton,aphorite,Aphorite,"['roc', 'fps']",58.6,59.0,True
aberdeen,Aberdeen,Stanton,aslarite,Aslarite,['ship'],28.5,29.0,True
aberdeen,Aberdeen,Stanton,beradom,Beradom,['roc'],4.0,4.0,True
aberdeen,Aberdeen,Stanton,beryl,Beryl,['ship'],2.0,2.0,True
aberdeen,Aberdeen,Stanton,corundum,Corundum,['ship'],29.8,30.0,True
aberdeen,Aberdeen,Stanton,dolivine,Dolivine,"['roc', 'fps']",35.4,35.0,True
aberdeen,Aberdeen,Stanton,feynmaline,Feynmaline,['roc'],64.0,64.0,True
aberdeen,Aberdeen,Stanton,glacosite,Glacosite,['roc'],32.0,32.0,True
aberdeen,Aberdeen,Stanton,hadanite,Hadanite,"['roc', 'fps']",6.0,6.0,True
aberdeen,Aberdeen,Stanton,ouratite,Ouratite,['ship'],10.0,10.0,True
aberdeen,Aberdeen,Stanton,quantainium,Quantainium,['ship'],2.0,2.0,True
aberdeen,Aberdeen,Stanton,titanium,Titanium,['ship'],28.5,29.0,True
akiro-cluster,Akiro Cluster,Pyro,copper,Copper,['ship'],14.9,15.0,True
akiro-cluster,Akiro Cluster,Pyro,hephaestanite,Hephaestanite,['ship'],14.9,15.0,True
akiro-cluster,Akiro Cluster,Pyro,ice,Ice,['ship'],14.9,15.0,True
akiro-cluster,Akiro Cluster,Pyro,iron,Iron,['ship'],14.8,15.0,True
akiro-cluster,Akiro Cluster,Pyro,laranite,Laranite,['ship'],10.0,10.0,True
akiro-cluster,Akiro Cluster,Pyro,riccite,Riccite,['ship'],10.0,10.0,True
akiro-cluster,Akiro Cluster,Pyro,silicon,Silicon,['ship'],14.9,15.0,True
akiro-cluster,Akiro Cluster,Pyro,stileron,Stileron,['ship'],2.0,2.0,True
akiro-cluster,Akiro Cluster,Pyro,taranite,Taranite,['ship'],2.0,2.0,True
akiro-cluster,Akiro Cluster,Pyro,tin,Tin,['ship'],14.9,15.0,True
akiro-cluster,Akiro Cluster,Pyro,torite,Torite,['ship'],28.5,29.0,True
arial,Arial,Stanton,agricium,Agricium,['ship'],10.0,10.0,True
arial,Arial,Stanton,aluminium,Aluminium,['ship'],22.0,22.0,True
arial,Arial,Stanton,aphorite,Aphorite,"['roc', 'fps']",58.6,59.0,True
arial,Arial,Stanton,beradom,Beradom,['roc'],16.0,16.0,True
arial,Arial,Stanton,beryl,Beryl,['ship'],2.0,2.0,True
arial,Arial,Stanton,copper,Copper,['ship'],22.0,22.0,True
arial,Arial,Stanton,corundum,Corundum,['ship'],22.0,22.0,True
arial,Arial,Stanton,dolivine,Dolivine,"['roc', 'fps']",35.4,35.0,True
arial,Arial,Stanton,feynmaline,Feynmaline,['roc'],52.0,52.0,True
arial,Arial,Stanton,glacosite,Glacosite,['roc'],32.0,32.0,True
arial,Arial,Stanton,hadanite,Hadanite,"['roc', 'fps']",6.0,6.0,True
arial,Arial,Stanton,hephaestanite,Hephaestanite,['ship'],22.0,22.0,True
arial,Arial,Stanton,ouratite,Ouratite,['ship'],10.0,10.0,True
arial,Arial,Stanton,quantainium,Quantainium,['ship'],2.0,2.0,True
arial,Arial,Stanton,quartz,Quartz,['ship'],22.0,22.0,True
arial,Arial,Stanton,silicon,Silicon,['ship'],22.0,22.0,True
arial,Arial,Stanton,tin,Tin,['ship'],22.0,22.0,True
breaker-stations-interior,Breaker Stations Interior,Nyx,aphorite,Aphorite,"['roc', 'fps']",75.0,75.0,True
breaker-stations-interior,Breaker Stations Interior,Nyx,sadaryx,Sadaryx,['fps'],25.0,25.0,True
breaker-stations-large-geode,Breaker Stations Large Geode,Nyx,savrilium,Savrilium,['ship'],100.0,100.0,True
breaker-stations-large-geode,Breaker Stations Large Geode,Nyx,torite,Torite,['ship'],100.0,100.0,True
cru-l1,CRU-L1,Stanton,bexalite,Bexalite,['ship'],9.54,10.0,True
cru-l1,CRU-L1,Stanton,copper,Copper,['ship'],9.43,9.0,True
cru-l1,CRU-L1,Stanton,ice,Ice,['ship'],9.43,9.0,True
cru-l1,CRU-L1,Stanton,iron,Iron,['ship'],9.49,9.0,True
cru-l1,CRU-L1,Stanton,titanium,Titanium,['ship'],15.11,15.0,True
cru-l2,CRU-L2,Stanton,bexalite,Bexalite,['ship'],9.54,10.0,True
cru-l2,CRU-L2,Stanton,copper,Copper,['ship'],9.43,9.0,True
cru-l2,CRU-L2,Stanton,ice,Ice,['ship'],9.43,9.0,True
cru-l2,CRU-L2,Stanton,iron,Iron,['ship'],9.49,9.0,True
cru-l2,CRU-L2,Stanton,titanium,Titanium,['ship'],15.11,15.0,True
cru-l3,CRU-L3,Stanton,aluminium,Aluminium,['ship'],9.36,9.0,True
cru-l3,CRU-L3,Stanton,corundum,Corundum,['ship'],9.36,9.0,True
cru-l3,CRU-L3,Stanton,hephaestanite,Hephaestanite,['ship'],9.36,9.0,True
cru-l3,CRU-L3,Stanton,torite,Torite,['ship'],11.17,11.0,True
cru-l4,CRU-L4,Stanton,aslarite,Aslarite,['ship'],16.07,16.0,True
cru-l4,CRU-L4,Stanton,copper,Copper,['ship'],10.04,10.0,True
cru-l4,CRU-L4,Stanton,gold,Gold,['ship'],10.15,10.0,True
cru-l4,CRU-L4,Stanton,ice,Ice,['ship'],10.04,10.0,True
cru-l4,CRU-L4,Stanton,iron,Iron,['ship'],10.09,10.0,True
cru-l5,CRU-L5,Stanton,agricium,Agricium,['ship'],9.02,9.0,True
cru-l5,CRU-L5,Stanton,beryl,Beryl,['ship'],5.7,6.0,True
cru-l5,CRU-L5,Stanton,copper,Copper,['ship'],5.63,6.0,True
cru-l5,CRU-L5,Stanton,ice,Ice,['ship'],5.63,6.0,True
cru-l5,CRU-L5,Stanton,iron,Iron,['ship'],5.66,6.0,True
calliope,Calliope,Stanton,aphorite,Aphorite,"['roc', 'fps']",61.1,61.0,True
calliope,Calliope,Stanton,beradom,Beradom,['roc'],12.0,12.0,True
calliope,Calliope,Stanton,beryl,Beryl,['ship'],2.0,2.0,True
calliope,Calliope,Stanton,dolivine,Dolivine,"['roc', 'fps']",36.9,37.0,True
calliope,Calliope,Stanton,feynmaline,Feynmaline,['roc'],4.0,4.0,True
calliope,Calliope,Stanton,glacosite,Glacosite,['roc'],84.0,84.0,True
calliope,Calliope,Stanton,hephaestanite,Hephaestanite,['ship'],32.63,33.0,True
calliope,Calliope,Stanton,ice,Ice,['ship'],32.63,33.0,True
calliope,Calliope,Stanton,iron,Iron,['ship'],32.73,33.0,True
calliope,Calliope,Stanton,janalite,Janalite,['fps'],2.0,2.0,True
calliope,Calliope,Stanton,quantainium,Quantainium,['ship'],2.0,2.0,True
calliope,Calliope,Stanton,quartz,Quartz,['ship'],32.63,33.0,True
calliope,Calliope,Stanton,silicon,Silicon,['ship'],32.63,33.0,True
cellin,Cellin,Stanton,agricium,Agricium,['ship'],28.5,29.0,True
cellin,Cellin,Stanton,aphorite,Aphorite,"['roc', 'fps']",58.6,59.0,True
cellin,Cellin,Stanton,aslarite,Aslarite,['ship'],28.5,29.0,True
cellin,Cellin,Stanton,beradom,Beradom,['roc'],56.0,56.0,True
