signature,unit_signature,mineral_id,mineral,rock_count
3170,3170,quantainium,Quantainium,1
3185,3185,stileron,Stileron,1
3200,3200,savrilium,Savrilium,1
3370,3370,ouratite,Ouratite,1
3385,3385,riccite,Riccite,1
3400,3400,lindinium,Lindinium,1
3540,3540,beryl,Beryl,1
3555,3555,taranite,Taranite,1
3570,3570,borase,Borase,1
3585,3585,gold,Gold,1
3600,3600,bexalite,Bexalite,1
3825,3825,laranite,Laranite,1
3840,3840,aslarite,Aslarite,1
3855,3855,titanium,Titanium,1
3870,3870,tungsten,Tungsten,1
3885,3885,agricium,Agricium,1
3900,3900,torite,Torite,1
4180,4180,hephaestanite,Hephaestanite,1
4195,4195,tin,Tin,1
4210,4210,quartz,Quartz,1
4225,4225,corundum,Corundum,1
4240,4240,copper,Copper,1
4255,4255,silicon,Silicon,1
4270,4270,iron,Iron,1
4285,4285,aluminium,Aluminium,1
4300,4300,ice,Ice,1
6340,3170,quantainium,Quantainium,2
6370,3185,stileron,Stileron,2
6400,3200,savrilium,Savrilium,2
6740,3370,ouratite,Ouratite,2
6770,3385,riccite,Riccite,2
6800,3400,lindinium,Lindinium,2
7080,3540,beryl,Beryl,2
7110,3555,taranite,Taranite,2
7140,3570,borase,Borase,2
7170,3585,gold,Gold,2
7200,3600,bexalite,Bexalite,2
7650,3825,laranite,Laranite,2
7680,3840,aslarite,Aslarite,2
7710,3855,titanium,Titanium,2
7740,3870,tungsten,Tungsten,2
7770,3885,agricium,Agricium,2
7800,3900,torite,Torite,2
8360,4180,hephaestanite,Hephaestanite,2
8390,4195,tin,Tin,2
8420,4210,quartz,Quartz,2
8450,4225,corundum,Corundum,2
8480,4240,copper,Copper,2
8510,4255,silicon,Silicon,2
8540,4270,iron,Iron,2
8570,4285,aluminium,Aluminium,2
8600,4300,ice,Ice,2
9510,3170,quantainium,Quantainium,3
9555,3185,stileron,Stileron,3
9600,3200,savrilium,Savrilium,3
10110,3370,ouratite,Ouratite,3
